#	ID	name	Material	Length[m]	 s [m]	angle[rad]	betax[m]	betay[m]	halfgap[m]	sigx[m]	sigy[m]	nsig	
	29	TCSM.A4L7.B1	CU	1.00	19993.16	2.37	123.38	146.67	2.34E-01	2.49E-04	2.72E-04	900.00	
	30	TCSG.A4R7.B1	C	1.00	19995.16	0.81	118.28	152.21	2.35E-01	2.44E-04	2.77E-04	900.00	
	31	TCSM.A4R7.B1	CU	1.00	19997.16	0.79	113.34	157.90	2.35E-01	2.39E-04	2.82E-04	900.00	
	36	TCSG.B5R7.B1	C	1.00	20086.42	2.47	121.85	267.55	2.69E-01	2.47E-04	3.67E-04	900.00	
	37	TCSM.B5R7.B1	CU	1.00	20088.42	2.44	131.77	252.23	2.72E-01	2.57E-04	3.56E-04	900.00	
	40	TCSG.D5R7.B1	C	1.00	20102.42	0.90	213.87	158.53	2.71E-01	3.28E-04	2.82E-04	900.00	
	41	TCSM.D5R7.B1	CU	1.00	20104.42	0.93	227.41	147.07	2.68E-01	3.38E-04	2.72E-04	900.00	
	42	TCSG.E5R7.B1	C	1.00	20106.42	2.28	241.40	136.10	2.71E-01	3.48E-04	2.62E-04	900.00	
	43	TCSM.E5R7.B1	CU	1.00	20108.42	2.24	255.83	125.61	2.68E-01	3.59E-04	2.51E-04	900.00	
	44	TCSG.6R7.B1	C	1.00	20141.02	0.01	335.75	47.36	3.70E-01	4.11E-04	1.54E-04	900.00	
	45	TCSM.6R7.B1	CU	1.00	20143.02	0.01	324.52	47.37	3.63E-01	4.04E-04	1.54E-04	900.00	
	50	TCLA.A6R7.B1	W	1.00	20148.09	1.57	297.06	48.16	1.40E-01	3.86E-04	1.56E-04	900.00	
	51	TCLA.B6R7.B1	W	1.00	20178.96	0.00	159.49	76.39	2.55E-01	2.83E-04	1.96E-04	900.00	
	52	TCLA.C6R7.B1	W	1.00	20212.51	1.57	68.61	151.89	2.49E-01	1.86E-04	2.76E-04	900.00	
	53	TCLA.D6R7.B1	W	1.00	20214.51	0.00	65.04	157.92	1.63E-01	1.81E-04	2.82E-04	900.00	
	54	TCLA.A7R7.B1	W	1.00	20231.86	0.00	64.26	147.41	1.62E-01	1.80E-04	2.72E-04	900.00	
	60	TCTH.4L8.B1	W	1.00	23197.43	0.00	46.99	48.35	1.28E-03	1.54E-04	1.56E-04	8.30	
	62	TCTVB.4L8	W	1.00	23241.89	1.57	128.41	52.41	1.35E-03	2.54E-04	1.62E-04	8.30	
	55	TCTH.4L1.B1	W	1.00	26511.36	0.00	1574.90	602.24	7.38E-03	8.90E-04	5.50E-04	8.30	
	56	TCTVA.4L1.B1	W	1.00	26513.04	1.57	1581.00	635.84	4.69E-03	8.91E-04	5.65E-04	8.30	
